date,uniquePageviews,Inquiry,source,medium,campaign,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration,Month,Impressions,Clicks
07/01/2017,,,,,,,,,,,,,2017-07,"53,548",423
08/01/2017,,,,,,,,,,,,,2017-08,"1,012,506",2734
09/01/2017,,,,,,,,,,,,,2017-09,"3,641,423",8375
10/01/2017,,,,,,,,,,,,,2017-10,"4,073,723",8962
11/01/2017,,,,,,,,,,,,,2017-11,"3,692,112",7384
12/01/2017,,,,,,,,,,,,,2017-12,"3,140,407",8793
01/01/2018,,,,,,,,,,,,,2018-01,"2,792,095",3351
02/01/2018,,,,,,,,,,,,,2018-02,"2,543,547",3052
03/01/2018,,,,,,,,,,,,,2018-03,"8,631,800",7769
04/01/2018,,,,,,,,,,,,,2018-04,"14,558,073",21837
05/01/2018,,,,,,,,,,,,,2018-05,"12,511,991",23773
06/01/2018,,,,,,,,,,,,,2018-06,"6,578,547",24998
07/01/2018,,,,,,,,,,,,,2018-07,"841,582",7238
08/01/2018,,,,,,,,,,,,,2018-08,"2,396,845",12703
09/01/2018,,,,,,,,,,,,,2018-09,"5,873,160",18794
10/01/2018,,,,,,,,,,,,,2018-10,"5,330,790",20257
11/01/2018,,,,,,,,,,,,,2018-11,"3,638,019",14188
12/01/2018,,,,,,,,,,,,,2018-12,"3,062,204",8880
01/01/2019,,,,,,,,,,,,,2019-01,"2,567,466",8986
02/01/2019,,,,,,,,,,,,,2019-02,"2,499,639",7499
03/01/2019,,,,,,,,,,,,,2019-03,"3,158,649",10108
04/01/2019,,,,,,,,,,,,,2019-04,"2,224,927",7787
05/01/2019,,,,,,,,,,,,,2019-05,,
06/01/2019,,,,,,,,,,,,,2019-06,,
07/01/2017,1,HS - Thank You,google,cpc,FY2017_Undergrad,0,0,0,0,1,1,0,2017-07,,
07/01/2017,1,HS - Thank You,google,cpc,FY2017_Undergrad,0,30,0,0,1,0,0,2017-07,,
07/01/2017,1,NA,FACEBOOK,NEWSFEED_LINK,FY2017_Undergrad,1,0,1,1,1,1,0,2017-07,,
07/01/2017,1,NA,FACEBOOK,PAGELINK,FY2017_Undergrad,1,0,1,0,1,1,0,2017-07,,
07/01/2017,1,NA,TWITTER,SOCIAL,FY2017_Undergrad,1,0,1,1,1,1,0,2017-07,,
07/01/2017,4,NA,FACEBOOK,PAGELINK,FY2017_Transfer,0,583,1,0,7,1,583,2017-07,,
07/03/2017,1,CU - Thank You,google,cpc,FY2017_Transfer,0,0,0,0,1,1,0,2017-07,,
07/03/2017,2,NA,FACEBOOK,PAGELINK,FY2017_Undergrad,2,0,2,0,2,2,0,2017-07,,
07/03/2017,4,NA,DBM,DISPLAY,FY2017_Umbrella,0,87,1,0,4,1,88,2017-07,,
07/04/2017,1,CU - Thank You,google,cpc,FY2017_Transfer,0,72,0,0,1,0,0,2017-07,,
07/04/2017,1,GR - Thank You,google,cpc,FY2017_Graduate,0,0,0,0,1,1,0,2017-07,,
07/04/2017,1,NA,FACEBOOK,PAGELINK,FY2017_Undergrad,1,0,1,0,1,1,0,2017-07,,
07/04/2017,1,NA,TWITTER,SOCIAL,FY2017_Undergrad,1,0,1,0,1,1,0,2017-07,,
07/05/2017,1,HS - Thank You,google,cpc,FY2017_Undergrad,0,26,0,0,1,0,0,2017-07,,
07/05/2017,1,NA,FACEBOOK,PAGELINK,FY2017_Undergrad,1,0,1,1,1,1,0,2017-07,,
07/06/2017,1,CU - Thank You,google,cpc,FY2017_Transfer,0,0,0,0,1,1,0,2017-07,,
07/06/2017,1,HS - Thank You,google,cpc,FY2017_Undergrad,0,9,0,0,1,0,0,2017-07,,
07/06/2017,1,NA,FACEBOOK,PAGELINK,FY2017_Undergrad,0,857,1,0,2,1,857,2017-07,,
07/06/2017,11,CU - Thank You,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-07,,
07/08/2017,1,HS - Thank You,google,cpc,FY2017_Undergrad,0,7,0,0,1,0,0,2017-07,,
07/08/2017,1,NA,DBM,DISPLAY,FY2017_Umbrella,0,8,1,0,1,1,8,2017-07,,
07/08/2017,1,NA,FACEBOOK,PAGELINK,FY2017_Courses,1,0,1,1,1,1,0,2017-07,,
07/08/2017,2,NA,FACEBOOK,PAGELINK,FY2017_Undergrad,1,504,2,0,3,2,504,2017-07,,
07/09/2017,1,HS - Thank You,google,cpc,FY2017_Undergrad,0,7,0,0,1,0,0,2017-07,,
07/09/2017,2,NA,FACEBOOK,PAGELINK,FY2017_Undergrad,2,0,2,0,2,2,0,2017-07,,
07/09/2017,5,NA,FACEBOOK,PAGELINK,FY2017_Courses,0,87,1,0,7,1,87,2017-07,,
07/09/2017,30,NA,DBM,DISPLAY,FY2017_Umbrella,1,1730,2,1,48,2,1732,2017-07,,
07/10/2017,1,CU - Thank You,google,cpc,FY2017_Transfer,0,43,0,0,1,0,0,2017-07,,
