date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration,Code_Audience
07/01/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Central Development Region,Kathmandu,1,0,0,0,0,1,1,0,HS - Thank You
07/01/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Tirana County,(not set),1,0,30,0,0,1,0,0,HS - Thank You
07/03/2017,/begin/thank-you,(direct),(none),(not set),(not set),Massachusetts,Lawrence,1,0,3,0,0,1,0,0,NA
07/03/2017,/begin/thank-you,google,organic,(not set),(not set),Massachusetts,Groton,1,0,876,0,0,1,0,0,NA
07/03/2017,/everyone-transfer-college-credits/thank-you,google,cpc,Transfer Your College,FY2017_Transfer,Massachusetts,Malden,1,0,0,0,0,1,1,0,CU - Thank You
07/04/2017,/begin/thank-you,(direct),(none),(not set),(not set),New York,New York,1,0,42,0,0,2,0,0,NA
07/04/2017,/begin/thank-you,TargetX,Email,SearchEmail2,FY17_Search_4J,Massachusetts,Lynn,1,0,27,0,0,1,0,0,NA
07/04/2017,/begin/thank-you,TargetX,Email,SearchEmail2,FY17_Search_4J,New Hampshire,Windham,1,0,0,0,0,1,1,0,NA
07/04/2017,/everyone-graduate-degree/thank-you,google,cpc,Graduate Degree Programs,FY2017_Graduate,Federal Capital Territory,Abuja,1,0,0,0,0,1,1,0,GR - Thank You
07/04/2017,/everyone-transfer-college-credits/thank-you,google,cpc,Transfer Your College,FY2017_Transfer,Dhaka Division,(not set),1,0,72,0,0,1,0,0,CU - Thank You
07/05/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Maine,Lewiston,1,0,26,0,0,1,0,0,HS - Thank You
07/06/2017,/begin/thank-you,(direct),(none),(not set),(not set),Massachusetts,Boston,1,0,0,0,0,1,1,0,NA
07/06/2017,/everyone-transfer-college-credits/thank-you,google,cpc,Transfer Your College,FY2017_Transfer,Seoul,Seoul,1,0,0,0,0,1,1,0,CU - Thank You
07/06/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Riyadh Province,Riyadh,1,0,9,0,0,1,0,0,HS - Thank You
07/08/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Arkansas,Conway,1,0,7,0,0,1,0,0,HS - Thank You
07/09/2017,/begin/thank-you,TargetX,Email,SearchEmail2,FY17_Search_4J,Louisiana,New Orleans,1,0,8,0,0,1,0,0,NA
07/09/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Massachusetts,Boston,1,0,7,0,0,1,0,0,HS - Thank You
07/10/2017,/everyone-transfer-college-credits/thank-you,google,cpc,University of Southern Maine,FY2017_Transfer,Massachusetts,Boston,1,0,43,0,0,1,0,0,CU - Thank You
07/11/2017,/everyone-graduate-degree/thank-you,google,cpc,University of Southern Maine,FY2017_Graduate,Georgia,Athens,1,0,31,0,0,2,1,0,GR - Thank You
07/11/2017,/everyone-undergraduate-degree/thank-you,google,cpc,Undergraduate Degree Programs,FY2017_Undergrad,Maine,Scarborough,1,0,86,0,0,1,0,0,HS - Thank You
07/12/2017,/begin/thank-you,(direct),(none),(not set),(not set),Massachusetts,Peabody,1,0,0,0,0,1,1,0,NA
07/12/2017,/begin/thank-you,bing,organic,(not set),(not set),Maine,Naples,1,0,33,0,0,1,0,0,NA
07/12/2017,/begin/thank-you,TargetX,Email,SearchEmail3,FY17_Search_4J,Maine,Orono,1,0,0,0,0,1,1,0,NA
07/12/2017,/begin/thank-you,TargetX,Email,SearchEmail3,FY17_Search_4J,Massachusetts,Wakefield,1,0,9,0,0,1,0,0,NA
07/12/2017,/begin/thank-you,TargetX,Email,SearchEmail3,FY17_Search_4J,New York,New York,1,0,26,0,0,1,0,0,NA
07/13/2017,/begin/thank-you,TargetX,Email,SearchEmail3,FY17_Search_4J,Maine,Auburn,1,0,0,0,0,1,1,0,NA
