Date,Page,Unique Pageviews,Inquiry
20170706,/everyone-transfer-college-credits/thank-you,11,CU - Thank You
20170729,/everyone-undergraduate-degree/thank-you,11,HS - Thank You
20170822,/welcome-graduate-degree-seekers/thank-you,11,GR - Thank You
20170824,/welcome-transfer-students/thank-you,11,CU - Thank You
20170902,/welcome-transfer-students/thank-you,11,CU - Thank You
20170908,/welcome-high-school-students/thank-you,11,HS - Thank You
20170910,/welcome-high-school-students/thank-you,11,HS - Thank You
20170914,/welcome-transfer-students/thank-you,11,CU - Thank You
20170917,/welcome-transfer-students/thank-you,11,CU - Thank You
20170919,/welcome-high-school-students/thank-you,11,HS - Thank You
20170927,/welcome-transfer-students/thank-you,11,CU - Thank You
20170930,/welcome-high-school-students/thank-you,11,HS - Thank You
20171010,/welcome-high-school-students/thank-you,11,HS - Thank You
20171011,/welcome-high-school-students/thank-you,11,HS - Thank You
20171024,/welcome-graduate-degree-seekers/thank-you,11,GR - Thank You
20171114,/welcome-high-school-students/thank-you,21,HS - Thank You
20171212,/welcome-high-school-students/thank-you,11,HS - Thank You
20171214,/welcome-high-school-students/thank-you,11,HS - Thank You
20171227,/welcome-transfer-students/thank-you,11,CU - Thank You
20180114,/welcome-high-school-students/thank-you,11,HS - Thank You
20180117,/welcome-degree-completion-seekers/thank-you,11,DC - Thank You
20180118,/welcome-high-school-students/thank-you,11,HS - Thank You
20180124,/welcome-transfer-students/thank-you,11,CU - Thank You
20180215,/welcome-graduate-degree-seekers/thank-you,11,GR - Thank You
20180217,/welcome-high-school-students/thank-you,11,HS - Thank You
20180311,/welcome-transfer-students/thank-you,11,CU - Thank You
20180329,/welcome-transfer-students/thank-you,11,CU - Thank You
20180422,/welcome-high-school-students/thank-you,11,HS - Thank You
20180423,/welcome-transfer-students/thank-you,11,CU - Thank You
20180501,/welcome-high-school-students/thank-you,11,HS - Thank You
20180526,/welcome-graduate-degree-seekers/thank-you,11,GR - Thank You
20180606,/welcome-transfer-students/thank-you,11,CU - Thank You
20180611,/welcome-transfer-students/thank-you,11,CU - Thank You
20180613,/welcome-transfer-students/thank-you,11,CU - Thank You
20180627,/welcome-high-school-students/thank-you,11,HS - Thank You
20180714,/welcome-transfer-students/thank-you,11,CU - Thank You
20180717,/welcome-graduate-degree-seekers/thank-you,11,GR - Thank You
20180807,/everyone-online-degree-seekers/thank-you,11,OL - Thank You
20180822,/everyone-transfer-students/thank-you,11,CU - Thank You
20180827,/everyone-transfer-students/thank-you,11,CU - Thank You
20180903,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20180905,/everyone-high-school-students/thank-you,11,HS - Thank You
20180910,/everyone-high-school-students/thank-you,11,HS - Thank You
20180912,/everyone-high-school-students/thank-you,11,HS - Thank You
20180923,/everyone-transfer-students/thank-you,11,CU - Thank You
20181008,/everyone-transfer-students/thank-you,11,CU - Thank You
20181015,/everyone-high-school-students/thank-you,11,HS - Thank You
20181018,/everyone-degree-completion/thank-you,11,DC - Thank You
20181027,/everyone-degree-completion/thank-you,11,DC - Thank You
20181102,/everyone-high-school-students/thank-you,11,HS - Thank You
20181130,/everyone-high-school-students/thank-you,21,HS - Thank You
20181208,/everyone-transfer-students/thank-you,11,CU - Thank You
20181212,/everyone-high-school-students/thank-you,11,HS - Thank You
20181212,/everyone-transfer-students/thank-you,11,CU - Thank You
20181212,/everyone-high-school-students/thank-you,11,HS - Thank You
20181212,/everyone-high-school-students/thank-you,11,HS - Thank You
20181216,/everyone-transfer-students/thank-you,11,CU - Thank You
20181216,/everyone-transfer-students/thank-you,11,CU - Thank You
20181217,/everyone-high-school-students/thank-you,11,HS - Thank You
20181218,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20181221,/everyone-high-school-students/thank-you,11,HS - Thank You
20181227,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20181228,/everyone-transfer-students/thank-you,11,CU - Thank You
20181230,/everyone-online-degree-seekers/thank-you,11,OL - Thank You
20181231,/everyone-high-school-students/thank-you,11,HS - Thank You
20190101,/everyone-high-school-students/thank-you,11,HS - Thank You
20190104,/everyone-high-school-students/thank-you,11,HS - Thank You
20190104,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190104,/everyone-transfer-students/thank-you,11,CU - Thank You
20190107,/everyone-transfer-students/thank-you,11,CU - Thank You
20190108,/everyone-high-school-students/thank-you,11,HS - Thank You
20190108,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190109,/everyone-transfer-students/thank-you,11,CU - Thank You
20190114,/everyone-transfer-students/thank-you,11,CU - Thank You
20190116,/everyone-high-school-students/thank-you,11,HS - Thank You
20190117,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190119,/everyone-high-school-students/thank-you,11,HS - Thank You
20190121,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190127,/everyone-high-school-students/thank-you,11,HS - Thank You
20190128,/everyone-transfer-students/thank-you,11,CU - Thank You
20190128,/everyone-high-school-students/thank-you,11,HS - Thank You
20190129,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190129,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190201,/everyone-online-degree-seekers/thank-you,11,OL - Thank You
20190202,/everyone-high-school-students/thank-you,11,HS - Thank You
20190203,/everyone-transfer-students/thank-you,11,CU - Thank You
20190205,/everyone-online-degree-seekers/thank-you,11,OL - Thank You
20190205,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190209,/everyone-high-school-students/thank-you,11,HS - Thank You
20190209,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190212,/everyone-transfer-students/thank-you,21,CU - Thank You
20190212,/everyone-transfer-students/thank-you,11,CU - Thank You
20190212,/everyone-transfer-students/thank-you,11,CU - Thank You
20190214,/everyone-high-school-students/thank-you,43,HS - Thank You
20190214,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190215,/everyone-transfer-students/thank-you,11,CU - Thank You
20190224,/everyone-high-school-students/thank-you,11,HS - Thank You
20190305,/everyone-transfer-students/thank-you,11,CU - Thank You
20190311,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190314,/everyone-high-school-students/thank-you,43,HS - Thank You
20190314,/everyone-high-school-students/thank-you,11,HS - Thank You
20190317,/everyone-high-school-students/thank-you,11,HS - Thank You
20190321,/everyone-degree-completion/thank-you,11,DC - Thank You
20190328,/everyone-high-school-students/thank-you,11,HS - Thank You
20190402,/everyone-high-school-students/thank-you,11,HS - Thank You
20190406,/everyone-high-school-students/thank-you,11,HS - Thank You
20190409,/everyone-high-school-students/thank-you,11,HS - Thank You
20190410,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190411,/everyone-high-school-students/thank-you,21,HS - Thank You
20190412,/everyone-high-school-students/thank-you,11,HS - Thank You
20190417,/everyone-graduate-degree-seekers/thank-you,11,GR - Thank You
20190428,/everyone-high-school-students/thank-you,11,HS - Thank You
