date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
07/01/2018,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Scarborough,1,0,22,0,0,1,0,0
07/02/2018,/welcome-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Online,Maine,Freeport,1,0,0,0,0,1,1,0
07/02/2018,/welcome-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2018_Transfer,Connecticut,Greenwich,1,0,21,0,0,1,0,0
07/08/2018,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Scarborough,1,0,8,0,0,1,0,0
07/10/2018,/here/thank-you,(direct),(none),(not set),(not set),Maine,Lewiston,1,0,0,0,0,1,1,0
07/10/2018,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Massachusetts,Boston,1,0,35,0,0,1,0,0
07/12/2018,/welcome-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Online,Maine,Portland,1,0,21,0,0,1,0,0
07/13/2018,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,Virginia,Suffolk,1,0,16,0,0,1,0,0
07/13/2018,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,(not set),Addis Ababa,1,0,35,0,0,1,0,0
07/14/2018,/welcome-transfer-students/thank-you,(direct),(none),(not set),(not set),(not set),Addis Ababa,1,0,91,1,1,1,0,740
07/14/2018,/welcome-transfer-students/thank-you,google,cpc,Earn Your Degree in Maine,FY2018_Transfer,Maine,Madison,1,0,4,0,0,1,0,0
07/14/2018,/welcome-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2018_Transfer,Maine,Lewiston,1,0,10,0,0,1,0,0
07/17/2018,/here/thank-you,(direct),(none),(not set),(not set),New Hampshire,Derry,1,0,0,0,0,1,1,0
07/17/2018,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,Maine,Falmouth,1,0,20,0,0,1,0,0
07/17/2018,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,Maine,Portland,1,0,47,0,0,1,0,0
07/18/2018,/welcome-graduate-degree-seekers/thank-you,google,cpc,Graduate Degree Programs,FY2018_Graduate,Maine,Wells,1,0,33,0,0,1,0,0
07/18/2018,/welcome-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Online,Maine,Wells,1,0,0,0,0,1,1,0
07/20/2018,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Connecticut,Hartford,1,0,10,0,0,1,0,0
07/20/2018,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Minnesota,Minneapolis,1,0,51,0,0,1,0,0
07/20/2018,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maine,Bangor,1,0,23,0,0,1,0,0
07/21/2018,/welcome-high-school-students/thank-you,(direct),(none),(not set),(not set),New Jersey,Willingboro,1,0,0,0,0,1,1,0
07/21/2018,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Norridgewock,1,0,12,0,0,1,0,0
07/25/2018,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Portland,1,0,10,0,0,1,0,0
07/28/2018,/welcome-graduate-degree-seekers/thank-you,google,cpc,Master's Degree Program,FY2018_Graduate,Maine,Portland,1,0,24,0,0,1,0,0
07/29/2018,/welcome-transfer-students/thank-you,google,cpc,Earn Your Degree in Maine,FY2018_Transfer,England,Nottingham,1,0,16,0,0,1,0,0
08/03/2018,/everyone-high-school-students/thank-you,Facebook,PageLink,AG_HS_UGRetarget,FY2018_Undergrad,Illinois,Chicago,1,0,0,0,0,1,1,0
08/07/2018,/everyone-high-school-students/thank-you,(direct),(none),(not set),(not set),New York,Getzville,1,0,121,0,0,2,0,0
08/07/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Portland,1,0,9,0,0,1,0,0
08/07/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,South-East District,(not set),1,0,266,0,0,1,0,0
08/07/2018,/everyone-online-degree-seekers/thank-you,google,organic,(not set),(not set),Maine,Falmouth,1,0,216,0,0,1,0,0
08/07/2018,/everyone-transfer-students/thank-you,(direct),(none),(not set),(not set),New York,Getzville,1,0,60,0,0,3,0,0
08/09/2018,/everyone-high-school-students/thank-you,Google,CPC,Summer,FY2019_Courses,Maine,Lewiston,1,0,0,0,0,1,1,0
08/10/2018,/everyone-degree-completion/thank-you,Doubleclick Bid Manager,Display,fa19_ag_dbm_disp_hs_ug_s_1,(not set),New York,Getzville,1,0,13,0,0,1,0,0
08/10/2018,/everyone-graduate-degree-seekers/thank-you,Doubleclick Bid Manager,Display,fa19_ag_dbm_disp_hs_ug_s_1,(not set),New York,Getzville,1,0,7,0,0,1,0,0
08/10/2018,/everyone-high-school-students/thank-you,Doubleclick Bid Manager,Display,fa19_ag_dbm_disp_hs_ug_s_1,(not set),New York,Getzville,1,0,12,0,0,1,0,0
08/10/2018,/everyone-high-school-students/thank-you,Google,CPC,Summer,FY2019_Courses,Maine,Auburn,1,0,0,0,0,1,1,0
08/10/2018,/everyone-online-degree-seekers/thank-you,Doubleclick Bid Manager,Display,fa19_ag_dbm_disp_hs_ug_s_1,(not set),New York,Getzville,1,0,113,0,0,3,0,0
08/10/2018,/everyone-transfer-students/thank-you,Doubleclick Bid Manager,Display,fa19_ag_dbm_disp_hs_ug_s_1,(not set),New York,Getzville,1,0,13,0,0,1,0,0
08/12/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Bethel,1,0,36,0,0,2,0,0
08/14/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),Belgrade,1,0,13,0,0,2,0,0
08/15/2018,/discover/thank-you,(direct),(none),(not set),(not set),Maine,Bangor,1,0,0,1,0,2,1,0
08/15/2018,/discover/thank-you,(direct),(none),(not set),(not set),Massachusetts,Boston,1,0,0,1,0,2,1,0
08/15/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,County Louth,Dundalk,1,0,35,0,0,2,0,0
08/16/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Graduate,Maine,Portland,1,0,8,0,0,2,0,0
08/18/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),Kinshasa,1,0,66,0,0,4,0,0
08/18/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Pennsylvania,Kutztown,1,0,126,0,0,6,1,0
08/19/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New Hampshire,Concord,1,0,24,0,0,2,0,0
08/19/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2019_Transfer,Uttar Pradesh,Kanpur,1,0,0,0,0,2,1,0
08/22/2018,/everyone-complete-your-degree/thank-you,LinkedIn,SponsoredPost,AG_ALL_GRMuskieSchool,FY2019_GradMuskie,Maine,Lewiston,1,0,31,0,0,2,0,0
08/22/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),(not set),1,0,54,0,0,2,0,0
08/22/2018,/everyone-high-school-students/thank-you,LinkedIn,SponsoredPost,AG_ALL_GRMuskieSchool,FY2019_GradMuskie,Maine,Lewiston,1,0,14,0,0,2,0,0
08/22/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Saco,1,0,22,0,0,4,0,0
08/23/2018,/everyone-transfer-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_TR_UG_S_2,FY2019_Transfer,Maine,Kennebunk,1,0,28,0,0,2,0,0
08/24/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New York,New York,1,0,34,0,0,2,0,0
08/24/2018,/welcome-degree-completion-seekers/thank-you,LinkedIn,PageLink,WA,FY2018_Degree_Completion,Maine,Lewiston,1,0,14,0,0,2,0,0
