Date,landingPagePath,source,medium,Ad,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
07/04/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Chester,1,1,0,1,1,1,1,0
07/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Derry,3,0,155,1,1,4,1,156
07/08/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Arlington,3,0,27,1,1,3,1,27
07/10/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,3,0,111,1,0,3,1,111
07/11/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Lisbon,Lisbon,1,1,0,1,1,1,1,0
07/12/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Montpelier,5,0,102,1,1,8,1,101
07/18/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Rindge,1,1,0,1,1,1,1,0
07/23/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Danbury,1,1,0,1,0,1,1,0
07/24/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Framingham,1,1,0,1,1,1,1,0
07/25/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Meriden,1,1,0,1,0,1,1,0
07/25/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Scarborough,1,1,0,1,0,1,1,0
07/26/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Metro Manila,Quezon City,1,1,0,1,1,1,1,0
07/27/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Danvers,13,0,773,2,1,24,2,774
07/28/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Vermont,Newport,9,0,1861,1,0,12,1,1861
07/29/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Moscow Oblast,Dedovsk,1,1,0,1,1,1,1,0
07/29/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Smithfield,1,1,0,1,1,1,1,0
08/05/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New Hampshire,Portsmouth,1,1,0,1,1,1,1,0
08/10/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,1,0,39,1,1,2,1,39
08/11/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Durham,1,1,0,1,1,1,1,0
08/12/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Dover,1,1,0,1,0,1,1,0
08/15/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,New Haven,1,1,0,1,1,1,1,0
08/21/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Hudson,8,0,688,1,0,10,1,687
08/22/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Massachusetts,Somerville,1,1,0,1,1,1,1,0
08/24/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Wellesley,3,0,109,1,1,5,1,109
08/31/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,0,1,1,0
09/03/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Newport,1,1,0,1,1,1,1,0
09/04/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Newport,1,1,0,1,0,1,1,0
09/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Conway,5,0,1647,1,0,7,1,1646
09/07/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Portland,1,1,0,1,0,1,1,0
09/08/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Providence,1,1,0,1,0,1,1,0
09/11/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,East Lyme,1,1,0,1,1,1,1,0
09/11/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Westfield,1,0,46,1,1,2,1,46
09/11/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
09/13/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Somers,1,1,0,1,1,1,1,0
09/13/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,5,1,175,3,2,9,3,175
09/14/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,New Haven,2,0,51,1,0,3,1,51
09/14/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Concord,3,1,1301,2,0,4,2,1301
09/14/2017,/office-of-admissions/new-england-regional-tuition-program,T.CO,REFERRAL,(NOT SET),(not set),South Dakota,Keystone,1,1,0,1,0,1,1,0
09/15/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Providence,2,0,28,1,1,2,1,28
09/16/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,New Milford,1,1,0,1,1,1,1,0
09/18/2017,/office-of-admissions/new-england-regional-tuition-program,DUCKDUCKGO.COM,REFERRAL,(NOT SET),(not set),Maine,Winthrop,1,1,0,1,0,1,1,0
09/18/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Illinois,Chicago,5,0,646,1,0,7,1,645
09/18/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Kurgan Oblast,Kurgan,1,1,0,1,1,1,1,0
09/18/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Concord,1,1,0,1,0,1,1,0
09/18/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Woodstock,1,1,0,1,1,1,1,0
09/19/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Framingham,1,1,0,1,1,1,1,0
09/20/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,1,1,0,1,0,1,1,0
09/21/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Illinois,Chicago,1,1,0,1,0,1,1,0
09/21/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Merrimack,1,1,0,1,0,1,1,0
09/22/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Orono,1,1,0,1,1,1,1,0
09/23/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Peabody,1,1,0,1,1,1,1,0
09/23/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Essex,1,0,20,1,1,2,1,20
09/25/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Newburyport,1,0,246,1,1,2,1,246
10/01/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Wallingford,1,1,0,1,1,1,1,0
10/03/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Massachusetts,Salem,3,0,1690,1,1,3,1,1690
10/04/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Maine,Falmouth,4,0,29,1,0,4,1,29
10/06/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Connecticut,Vernon,3,0,84,1,1,5,1,84
10/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,North Haven,2,0,97,1,0,3,1,97
10/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,South Portland,4,0,2353,1,0,4,1,2353
10/06/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
10/07/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Massachusetts,Danvers,1,1,0,1,1,1,1,0
10/07/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,7,2,197,3,3,14,3,196
10/08/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Connecticut,Middletown,1,1,0,1,1,1,1,0
10/12/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Danbury,1,1,0,1,0,1,1,0
10/14/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,2,0,37,1,1,2,1,37
10/15/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
10/15/2017,/office-of-admissions/new-england-regional-tuition-program,YAHOO,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
10/16/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),Maine,Gorham,1,0,128,1,1,3,1,128
10/16/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Hebron,1,1,0,1,1,1,1,0
10/20/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Barrington,5,0,166,1,1,5,1,167
10/21/2017,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
10/21/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Hudson,2,0,58,1,0,2,1,58
10/22/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Gorham,3,0,215,1,0,6,1,215
10/22/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Hudson,3,0,442,1,0,4,1,442
10/22/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Woonsocket,1,1,0,1,1,1,1,0
10/23/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Harvard,3,0,122,1,0,3,1,122
10/24/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Medway,1,1,0,1,0,1,1,0
10/25/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Gorham,1,1,0,1,0,1,1,0
10/27/2017,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Saint Albans City,1,1,0,1,0,1,1,0
