Date,landingPagePath,source,medium,Ad,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
7/3/2017,/office-of-admissions/visit-usm,DIRECT,(NONE),(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,0,1,1,0
7/3/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,0,1,1,0
7/3/2017,/office-of-admissions/visit-usm,WESTBROOKMAINE.COM,REFERRAL,(NOT SET),(not set),Maine,Westbrook,2,2,0,2,1,2,2,0
7/4/2017,/office-of-admissions/visit-usm,DIRECT,(NONE),(NOT SET),(not set),Pennsylvania,Maple Glen,1,1,0,1,0,1,1,0
7/4/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),District of Columbia,Washington,1,1,0,1,0,1,1,0
7/4/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Derry,1,1,0,1,0,1,1,0
7/6/2017,/gallery/visiting-curator-talk-diana-tuite,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
7/6/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Brockton,1,1,0,1,0,1,1,0
7/6/2017,/office-of-admissions/visit-usm,YAHOO,ORGANIC,(NOT SET),(not set),Maine,Brunswick,1,1,0,1,0,1,1,0
7/6/2017,/office-of-admissions/visit-usm,YAHOO,ORGANIC,(NOT SET),(not set),Maine,Waterville,5,0,311,1,0,6,1,311
7/7/2017,/about/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Lewiston,4,0,130,1,0,4,1,130
7/7/2017,/office-of-admissions/visit-usm,DIRECT,(NONE),(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
7/7/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,New Haven,1,1,0,1,0,1,1,0
7/7/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,2,0,113,1,0,2,1,113
7/7/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,South Kingstown,1,1,0,1,0,1,1,0
7/7/2017,/publicaffairs/visiting-artist-gina-adams-shares-methods-painting-hot-wax,GOOGLE,ORGANIC,(NOT SET),(not set),New Hampshire,Dover,1,1,0,1,1,1,1,0
7/8/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Madison,1,1,0,1,0,1,1,0
7/9/2017,/art/visiting-artists-program,GOOGLE,ORGANIC,(NOT SET),(not set),New Jersey,Bloomingdale,1,1,0,1,1,1,1,0
7/9/2017,/art/visiting-artists-program,SEARCH.XFINITY.COM,REFERRAL,(NOT SET),(not set),Maine,Portland,1,1,0,1,1,1,1,0
7/9/2017,/office-of-admissions/visit-usm,GOOGLE,CPC,UNDERGRADUATE DEGREE PROGRAMS,FY2017_Undergrad,Maine,Bath,1,1,0,1,0,1,1,0
7/11/2017,/dsc/visiting-student-accommodations-request-form,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,0,1,1,0
7/11/2017,/gallery/visiting-curator-talk-diana-tuite,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,1,1,0,1,1,1,1,0
7/11/2017,/office-of-admissions/visit-usm,DIRECT,(NONE),(NOT SET),(not set),North Carolina,Lumberton,1,1,0,1,0,1,1,0
7/11/2017,/office-of-admissions/visit-usm,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Stamford,1,1,0,1,0,1,1,0
