Student Type,Primary State Code,Age,Initial Source Date,Initial Referral Source,Referral Source Values: Referral Source Values Name,Anticipated Start Year,Student Stage
Transfer,ME,,9/8/2018,MDCF19,MDCF19,2019,Inquiry
Transfer,ME,,9/21/2018,MDCF19,MDCF19,2019,Inquiry
First-Year Student,ME,,10/1/2018,MDCF19,MDCF19,2019,Inquiry
First-Year Student,ME,,10/3/2018,MDCF19,MDCF19,2019,Inquiry
First-Year Student,ME,,10/18/2018,MDCF19,MDCF19,2019,Inquiry
First-Year Student,ME,,10/27/2018,MDCF19,MDCF19,2019,Inquiry
Transfer,ME,,10/30/2018,MDCF19,MDCF19,2019,Inquiry
Transfer,ME,,11/13/2018,MDCF19,MDCF19,2019,Inquiry
Transfer,ME,,1/3/2019,MDCF19,MDCF19,2019,Inquiry
Transfer,ME,,1/7/2019,MDCF19,MDCF19,2019,Inquiry
First-Year Student,ME,,1/15/2019,MDCF19,MDCF19,2019,Inquiry
First-Year Student,ME,,1/28/2019,MDCF19,MDCF19,2019,Inquiry
First-Year Student,NH,,1/29/2019,MDCF19,MDCF19,2019,Inquiry
Transfer,ME,,2/17/2019,MDCF19,MDCF19,2019,Inquiry
First-Year Student,ME,,2/20/2019,MDCF19,MDCF19,2019,Inquiry
Transfer,NH,,2/23/2019,MDCF19,MDCF19,2019,Inquiry
First-Year Student,MO,,4/17/2019,MDCF19,MDCF19,2019,Inquiry
Graduate,ME,,9/3/2018,MGRF19,AGOP,2019,Inquiry
Graduate,UT,27,11/2/2018,MGRF19,APPL,2019,Applicant
Graduate,ME,25,11/23/2018,MGRF19,APPL,2019,Applicant
Graduate,ME,42,1/5/2019,MGRF19,APPL,2019,Applicant
Graduate,ME,22,1/24/2019,MGRF19,APPL,2019,Applicant
Graduate,ME,,9/3/2018,MGRF19,GNDGRINQ,2019,Inquiry
Graduate,ME,,1/21/2019,MGRF19,GUSMUSTD,2019,Inquiry
Graduate,ME,25,8/16/2018,MGRF19,GUSMUSTD,2019,Applicant
Graduate,ME,,1/2/2019,MGRF19,IGRD,2019,Inquiry
Graduate,ME,,1/21/2019,MGRF19,IGRD,2019,Inquiry
Graduate,ME,,2/14/2019,MGRF19,IGRD,2019,Inquiry
Graduate,ME,25,11/23/2018,MGRF19,IGRD,2019,Applicant
Graduate,ME,,8/1/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,VA,,8/21/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,8/30/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,9/3/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,9/5/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,,,9/14/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,FL,,9/16/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,TN,,9/16/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,9/27/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,NY,,10/15/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,NH,,10/19/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,10/21/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,10/21/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,10/25/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,11/7/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,11/27/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,,,11/30/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,NY,,12/9/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,12/11/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,,,12/13/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,,,12/14/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,12/17/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,NY,,12/17/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,12/18/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,12/19/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,,,12/21/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,12/21/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,PA,,12/22/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,MA,,12/24/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,NH,,12/24/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,NH,,12/26/2018,MGRF19,MGRF19,2019,Inquiry
Graduate,ME,,12/27/2018,MGRF19,MGRF19,2019,Inquiry
