Date,Source / Medium,City,Page,Ad Content,Unique Pageviews
20190214,(direct) / (none),Memphis,/everyone-high-school-students/thank-you,(not set),43
20190314,(direct) / (none),Memphis,/everyone-high-school-students/thank-you,(not set),43
20171114,google / cpc,Scarborough,/welcome-high-school-students/thank-you,(not set),21
20181130,(direct) / (none),Memphis,/everyone-high-school-students/thank-you,(not set),21
20190212,Google / CPC,Windham,/everyone-transfer-students/thank-you,General,21
20190411,(direct) / (none),Memphis,/everyone-high-school-students/thank-you,(not set),21
20170704,(direct) / (none),New York,/begin/thank-you,(not set),11
20170704,TargetX / Email,Windham,/begin/thank-you,SearchEmail2,11
20170706,google / cpc,Seoul,/everyone-transfer-college-credits/thank-you,(not set),11
20170709,TargetX / Email,New Orleans,/begin/thank-you,SearchEmail2,11
20170712,TargetX / Email,Wakefield,/begin/thank-you,SearchEmail3,11
20170713,TargetX / Email,Auburn,/begin/thank-you,SearchEmail3,11
20170729,google / cpc,Lagos,/everyone-undergraduate-degree/thank-you,(not set),11
20170812,TargetX / Email,Hollis,/begin/thank-you,SearchEmail5,11
20170822,google / cpc,Freeport,/welcome-graduate-degree-seekers/thank-you,(not set),11
20170824,Facebook / LeadGen,Scotchtown,/welcome-transfer-students/thank-you,CU_TR,11
20170902,google / cpc,Kittery,/welcome-transfer-students/thank-you,(not set),11
20170908,google / cpc,Kittery,/welcome-high-school-students/thank-you,(not set),11
20170910,google / cpc,Presque Isle,/welcome-high-school-students/thank-you,(not set),11
20170914,google / cpc,Bloomfield,/welcome-transfer-students/thank-you,(not set),11
20170917,google / cpc,Brunswick,/welcome-transfer-students/thank-you,(not set),11
20170919,google / cpc,Port Elizabeth,/welcome-high-school-students/thank-you,(not set),11
20170927,google / cpc,Portland,/welcome-transfer-students/thank-you,(not set),11
20170930,Facebook / PageLink,Wiscasset,/welcome-high-school-students/thank-you,Undergrad_ME_HS,11
20171010,Spotify / Display,Belfast,/welcome-high-school-students/thank-you,640x640,11
20171011,Spotify / Display,Belfast,/welcome-high-school-students/thank-you,640x640,11
20171024,google / cpc,Lebanon,/welcome-graduate-degree-seekers/thank-you,(not set),11
20171112,google / organic,Thane,/honors/thank-you-dara-jeanne-kaufman-fund,(not set),11
20171212,google / cpc,Newton,/welcome-high-school-students/thank-you,(not set),11
20171214,google / cpc,Wakefield,/welcome-high-school-students/thank-you,(not set),11
20171227,google / cpc,Brunswick,/welcome-transfer-students/thank-you,(not set),11
20180114,Facebook / PageLink,Presque Isle,/welcome-high-school-students/thank-you,Undergrad_ME_HS,11
20180117,google / organic,Biddeford,/welcome-degree-completion-seekers/thank-you,(not set),11
20180118,google / cpc,Windham,/welcome-high-school-students/thank-you,(not set),11
20180124,google / cpc,Auburn,/welcome-transfer-students/thank-you,(not set),11
20180215,google / cpc,Gray,/welcome-graduate-degree-seekers/thank-you,(not set),11
20180217,google / cpc,Tampa,/welcome-high-school-students/thank-you,(not set),11
20180311,google / cpc,Casablanca,/welcome-transfer-students/thank-you,(not set),11
20180329,google / cpc,Orono,/welcome-transfer-students/thank-you,(not set),11
20180422,google / cpc,Kathmandu,/welcome-high-school-students/thank-you,(not set),11
20180423,google / cpc,Boston,/welcome-transfer-students/thank-you,(not set),11
20180501,google / cpc,Brownfield,/welcome-high-school-students/thank-you,(not set),11
20180526,google / cpc,Portland,/welcome-graduate-degree-seekers/thank-you,(not set),11
20180606,google / cpc,Banja Luka,/welcome-transfer-students/thank-you,(not set),11
20180611,google / cpc,Cumming,/welcome-transfer-students/thank-you,(not set),11
20180613,google / cpc,Skaneateles,/welcome-transfer-students/thank-you,(not set),11
20180627,google / cpc,Saco,/welcome-high-school-students/thank-you,(not set),11
20180714,(direct) / (none),Addis Ababa,/welcome-transfer-students/thank-you,(not set),11
20180717,google / cpc,Portland,/welcome-graduate-degree-seekers/thank-you,(not set),11
20180807,google / organic,Falmouth,/everyone-online-degree-seekers/thank-you,(not set),11
20180822,google / cpc,Saco,/everyone-transfer-students/thank-you,(not set),11
20180827,google / cpc,Ellsworth,/everyone-transfer-students/thank-you,(not set),11
20180903,Facebook / Page Link,Scarborough,/everyone-graduate-degree-seekers/thank-you,FA19_IG_FB_VID_WA_GR_D_1,11
20180905,google / cpc,Boston,/everyone-high-school-students/thank-you,(not set),11
20180908,(direct) / (none),Dakar,/communityengagement/thank-you-our-wonderful-2017-2018-doce-team,(not set),11
20180910,Facebook / Page Link,Bangor,/everyone-high-school-students/thank-you,FA19_IG_FB_DISP_HS_UG_S_1,11
20180912,Facebook / Page Link,Camden,/everyone-high-school-students/thank-you,FA19_IG_FB_DISP_HS_UG_S_1,11
20180915,search.kidzsearch.com / referral,(not set),/honors/thank-you-dara-jeanne-kaufman-fund,(not set),11
20180923,google / cpc,Claremont,/everyone-transfer-students/thank-you,(not set),11
20181008,google / cpc,New York,/everyone-transfer-students/thank-you,(not set),11
20181015,Snapchat / TopSnap,Bridgeport,/everyone-high-school-students/thank-you,fa19_ig_sc_vid_tl_ug_d_1,11
20181018,Google / Gmail,Gray,/everyone-degree-completion/thank-you,fa19_ig_gm_text_wa_dc_s_2,11
20181027,Pinterest / TrafficPin,Windham,/everyone-degree-completion/thank-you,fa19_br_pin_disp_wa_dc_s_4,11
20181102,Google / CPC,Cheshire,/everyone-high-school-students/thank-you,General,11
20181208,Google / CPC,Detroit,/everyone-transfer-students/thank-you,General,11
20181212,Google / CPC,Addis Ababa,/everyone-high-school-students/thank-you,General,11
20181212,Google / CPC,Kathmandu,/everyone-transfer-students/thank-you,General,11
20181212,Google / CPC,Portland,/everyone-high-school-students/thank-you,General,11
20181212,google / organic,South Portland,/everyone-high-school-students/thank-you,(not set),11
20181216,Google / CPC,Minneapolis,/everyone-transfer-students/thank-you,General,11
20181216,Google / CPC,Scarborough,/everyone-transfer-students/thank-you,General,11
20181217,Google / CPC,Accra,/everyone-high-school-students/thank-you,General,11
20181218,Google / CPC,Huntington Beach,/everyone-graduate-degree-seekers/thank-you,General,11
20181221,Google / CPC,Addis Ababa,/everyone-high-school-students/thank-you,General,11
20181227,Google / CPC,Augusta,/everyone-graduate-degree-seekers/thank-you,General,11
20181228,Google / CPC,Quezon City,/everyone-transfer-students/thank-you,General,11
20181230,Google / CPC,Yarmouth,/everyone-online-degree-seekers/thank-you,General,11
20181231,Google / CPC,Accra,/everyone-high-school-students/thank-you,General,11
20190101,Google / CPC,Constantine,/everyone-high-school-students/thank-you,General,11
20190104,Google / CPC,Nairobi,/everyone-high-school-students/thank-you,General,11
20190104,Google / CPC,Waterboro,/everyone-graduate-degree-seekers/thank-you,General,11
20190104,Google / CPC,Scarborough,/everyone-transfer-students/thank-you,General,11
20190107,Google / CPC,Falmouth,/everyone-transfer-students/thank-you,General,11
20190108,Google / CPC,Dubai,/everyone-high-school-students/thank-you,General,11
20190108,Google / CPC,Waterboro,/everyone-graduate-degree-seekers/thank-you,General,11
20190109,Google / CPC,Scarborough,/everyone-transfer-students/thank-you,General,11
20190114,Google / CPC,Portland,/everyone-transfer-students/thank-you,Retargeting,11
20190116,Google / CPC,Reston,/everyone-high-school-students/thank-you,General,11
20190117,Google / CPC,Falmouth,/everyone-graduate-degree-seekers/thank-you,General,11
20190119,Google / CPC,Amadora,/everyone-high-school-students/thank-you,General,11
20190121,Google / CPC,Portsmouth,/everyone-graduate-degree-seekers/thank-you,General,11
20190127,Google / CPC,Holyoke,/everyone-high-school-students/thank-you,General,11
20190128,Google / CPC,Saco,/everyone-transfer-students/thank-you,General,11
20190128,Google / CPC,Herkimer,/everyone-high-school-students/thank-you,General,11
20190129,Google / CPC,Orono,/everyone-graduate-degree-seekers/thank-you,General,11
20190129,Google / CPC,Accra,/everyone-graduate-degree-seekers/thank-you,General,11
20190201,(direct) / (none),Portland,/everyone-online-degree-seekers/thank-you,(not set),11
20190202,Google / CPC,Westbrook,/everyone-high-school-students/thank-you,General,11
20190203,Google / CPC,Jaipur,/everyone-transfer-students/thank-you,General,11
20190205,(direct) / (none),Getzville,/everyone-online-degree-seekers/thank-you,(not set),11
20190205,Google / CPC,Kolkata,/everyone-graduate-degree-seekers/thank-you,Masters,11
20190209,Google / CPC,Nairobi,/everyone-high-school-students/thank-you,General,11
20190209,Google / CPC,Granville,/everyone-graduate-degree-seekers/thank-you,Masters,11
20190212,Google / CPC,York,/everyone-transfer-students/thank-you,General,11
20190212,Google / CPC,Topsham,/everyone-transfer-students/thank-you,General,11
20190214,Google / CPC,Addis Ababa,/everyone-graduate-degree-seekers/thank-you,General,11
20190215,Google / CPC,Greater Noida,/everyone-transfer-students/thank-you,General,11
20190224,Google / CPC,Bangor,/everyone-high-school-students/thank-you,General,11
20190305,Google / CPC,Portland,/everyone-transfer-students/thank-you,General,11
20190311,Google / CPC,Scarborough,/everyone-graduate-degree-seekers/thank-you,General,11
20190314,google / cpc,Cairo,/everyone-high-school-students/thank-you,(not set),11
20190317,google / cpc,Lagos,/everyone-high-school-students/thank-you,(not set),11
20190321,LinkedIn / InMail,Weare,/everyone-degree-completion/thank-you,fa19_ig_li_text_wa_dc_s_1,11
20190328,Google / CPC,Kigali,/everyone-high-school-students/thank-you,General,11
20190402,Google / CPC,Boston,/everyone-high-school-students/thank-you,General,11
20190406,Google / CPC,Boston,/everyone-high-school-students/thank-you,General,11
20190409,Google / CPC,Addis Ababa,/everyone-high-school-students/thank-you,General,11
20190410,Google / CPC,Chennai,/everyone-graduate-degree-seekers/thank-you,General,11
20190412,Google / CPC,(not set),/everyone-high-school-students/thank-you,General,11
20190417,Google / CPC,Biddeford,/everyone-graduate-degree-seekers/thank-you,General,11
20190428,Google / CPC,Portland,/everyone-high-school-students/thank-you,General,11
